,Sentences,Title,Harry Potter
171, youd think theyd be a bit more careful but no even the muggle have noticed something go on ,HP1,True
172, it wa on their new ,HP1,True
173, she jerked her head back at the dursleys dark living room window ,HP1,True
174, well theyre not completely stupid ,HP1,True
175, they were bound to notice someth ,HP1,True
176, shoot star down in kent ill bet that wa dedalu diggle ,HP1,True
177, he never had much sense ,HP1,True
178, you cant blame them said dumbledore gently ,HP1,True
179, weve had preciou little to celebrate for eleven year ,HP1,True
180, i know that said professor mcgonagall irritably ,HP1,True
181, but that no reason to lose our head ,HP1,True
182, people are be downright carel out on the street in broad  daylight not even dressed in muggle clothe swapp rumor ,HP1,True
183, she threw a sharp sideway glance at dumbledore here a though hop he wa go to tell her someth but he didnt so she went on ,HP1,True
184, a fine th it would be if on the very day you know who seem to have disappeared at last the muggle found out about u all ,HP1,True
185, i suppose he really ha gone dumbledore ,HP1,True
186, it certainly seem so said dumbledore ,HP1,True
187, we have much to be thankful for ,HP1,True
188, would you care for a lemon drop ,HP1,True
189, theyre a kind of muggle sweet im rather fond of ,HP1,True
190, no thank you said professor mcgonagall coldly a though she didnt think thi wa the moment for lemon drop ,HP1,True
191, a i say even if you know who ha gone my dear professor surely a sensible person like yourself can call him by hi name ,HP1,True
192, all thi you know who nonsense for eleven year i have been try to persuade people to call him by hi proper name: voldemort ,HP1,True
193, professor mcgonagall flinched but dumbledore who wa unstick two lemon drop seemed not to notice ,HP1,True
194, it all get so confus if we keep say you know who ,HP1,True
195, i have never seen any reason to be frightened of say voldemort name ,HP1,True
196, i know you havent said professor mcgonagall sound half exasperated half admir ,HP1,True
197, everyone know youre the only one you know oh all right voldemort wa frightened of ,HP1,True
198,  you flatter me said dumbledore calmly ,HP1,True
199, voldemort had power i will never have ,HP1,True
200, only because youre too well noble to use them ,HP1,True
201, i havent blushed so much since madam pomfrey told me she liked my new earmuff ,HP1,True
202, professor mcgonagall shot a sharp look at dumbledore and said the owl are noth next to the rumor that are fly around ,HP1,True
203, you know what everyone saying ,HP1,True
204, about what finally stopped him ,HP1,True
205, it seemed that professor mcgonagall had reached the point she wa most anxiou to discus the real reason she had been wait on a cold hard wall all day for neither a a cat nor a a woman had she fixed dumbledore with such a pierc stare a she did now ,HP1,True
206, it wa plain that whatever everyone wa say she wa not go to believe it until dumbledore told her it wa true ,HP1,True
207, dumbledore however wa choos another lemon drop and did not answer ,HP1,True
208, what theyre say she pressed on i that last night voldemort turned up in godric hollow ,HP1,True
209, he went to find the potter ,HP1,True
210, the rumor i that lily and jame potter are are that theyre dead ,HP1,True
211, i didnt want to believe it ,HP1,True
212, dumbledore reached out and patted her on the shoulder ,HP1,True
213,  professor mcgonagall voice trembled a she went on ,HP1,True
214, theyre say he tried to kill the potters son harry ,HP1,True
215, he couldnt kill that little boy ,HP1,True
216, no one know why or how but theyre say that when he couldnt kill harry potter voldemort power somehow broke and that why he gone ,HP1,True
217, all the people he killed ,HP1,True
218, he couldnt kill a little boy ,HP1,True
219, of all the th to stop him ,HP1,True
220, but how in the name of heaven did harry survive ,HP1,True
221, we can only gu said dumbledore ,HP1,True
222, professor mcgonagall pulled out a lace handkerchief and dabbed at her eye beneath her spectacle ,HP1,True
223, dumbledore gave a great sniff a he took a golden watch from hi pocket and examined it ,HP1,True
224, it wa a very odd watch ,HP1,True
225, it had twelve hand but no numbers; instead little planet were mov around the edge ,HP1,True
226, it must have made sense to dumbledore though because he put it back in hi pocket and said hagrid late ,HP1,True
227, i suppose it wa he who told you id be here by the way ,HP1,True
228, and i dont suppose youre go to tell me why youre here of all places ,HP1,True
229, ive come to br harry to hi aunt and uncle ,HP1,True
230, theyre the only family he ha left now ,HP1,True
231, you dont mean you cant mean the people who live here ,HP1,True
232, cried professor mcgonagall jump to her feet and point at number four ,HP1,True
233, ive been watch them all day ,HP1,True
234, you couldnt find two people who are l like u ,HP1,True
235, and theyve got thi son i saw him kick hi mother all the way up the street scream for sweet ,HP1,True
236, harry potter come and live here ,HP1,True
237, it the best place for him said dumbledore firmly ,HP1,True
238, hi aunt and uncle will be able to explain everyth to him when he older ,HP1,True
239, ive written them a letter ,HP1,True
240, repeated professor mcgonagall faintly sitt back down on the wall ,HP1,True
241, really dumbledore you think you can explain all thi in a letter ,HP1,True
242, these people will never understand him ,HP1,True
243, hell be famou a legend i wouldnt be surprised if today wa known a harry potter day in the future there will be book written about harry every child in our world will know hi name ,HP1,True
244, exactly said dumbledore look very seriously over the top of hi half moon glasse ,HP1,True
245, it would be enough to turn any boy head ,HP1,True
246, famou before he can walk and talk ,HP1,True
247, famou for someth he wont even remember ,HP1,True
248, cant you see how much better off hell be grow up away from all that until he ready to take it ,HP1,True
249, professor mcgonagall opened her mouth changed her mind swallowed and then said ye ye youre right of course ,HP1,True
250, but how i the boy gett here dumbledore ,HP1,True
251, she eyed hi cloak suddenly a though she thought he might be hid harry underneath it ,HP1,True
252, you think it wise to trust hagrid with someth a important a this ,HP1,True
253,  i would trust hagrid with my life said dumbledore ,HP1,True
254, im not say hi heart isnt in the right place said professor mcgonagall grudgingly but you cant pretend he not carel ,HP1,True
255, he doe tend to what wa that ,HP1,True
256, a low rumbl sound had broken the silence around them ,HP1,True
257, it grew steadily louder a they looked up and down the street for some sign of a headlight; it swelled to a roar a they both looked up at the sky and a huge motorcycle fell out of the air and landed on the road in front of them ,HP1,True
258, if the motorcycle wa huge it wa noth to the man sitt astride it ,HP1,True
259, he wa almost twice a tall a a normal man and at least five time a wide ,HP1,True
260, he looked simply too big to be allowed and so wild long tangle of bushy black hair and beard hid most of hi face he had hand the size of trash can lid and hi feet in their leather boot were like baby dolphin ,HP1,True
261, in hi vast muscular arm he wa hold a bundle of blanket ,HP1,True
262, hagrid said dumbledore sound relieved ,HP1,True
263, and where did you get that motorcycle ,HP1,True
264, borrowed it professor dumbledore sir said the giant climb carefully off the motorcycle a he spoke ,HP1,True
265, young siriu black lent it to me ,HP1,True
266, no sir house wa almost destroyed but i got him out all right before the muggle started swarmin around ,HP1,True
267, he fell asleep a we wa flyin over bristol ,HP1,True
268,  dumbledore and professor mcgonagall bent forward over the bundle of blanket ,HP1,True
269, inside just visible wa a baby boy fast asleep ,HP1,True
270, under a tuft of jet black hair over hi forehead they could see a curiously shaped cut like a bolt of lightn ,HP1,True
271, hell have that scar forever ,HP1,True
272, couldnt you do someth about it dumbledore ,HP1,True
273, even if i could i wouldnt ,HP1,True
274, scar can come in handy ,HP1,True
275, i have one myself above my left knee that i a perfect map of the london underground ,HP1,True
276, well give him here hagrid wed better get thi over with ,HP1,True
277, dumbledore took harry in hi arm and turned toward the dursleys house ,HP1,True
278, could i could i say good bye to him sir ,HP1,True
279, he bent hi great shaggy head over harry and gave him what must have been a very scratchy whiskery kis ,HP1,True
280, then suddenly hagrid let out a howl like a wounded dog ,HP1,True
281, hissed professor mcgonagall youll wake the muggles ,HP1,True
282, s s sorry sobbed hagrid tak out a large spotted handkerchief and bury hi face in it ,HP1,True
283, but i c c cant stand it lily an jame dead an poor little harry off ter live with muggle ye ye it all very sad but get a grip on yourself hagrid or well be found professor mcgonagall whispered patt hagrid gingerly on the arm a dumbledore stepped over the low garden wall and walked to the front door ,HP1,True
284, he laid harry gently on the  doorstep took a letter out of hi cloak tucked it inside harry blanket and then came back to the other two ,HP1,True
285, for a full minute the three of them stood and looked at the little bundle; hagrid shoulder shook professor mcgonagall blinked furiously and the twinkl light that usually shone from dumbledore eye seemed to have gone out ,HP1,True
286, well said dumbledore finally that that ,HP1,True
287, weve no busin stay here ,HP1,True
288, we may a well go and join the celebration ,HP1,True
289, yeah said hagrid in a very muffled voice id best get thi bike away ,HP1,True
290, g night professor mcgonagall professor dumbledore sir ,HP1,True
291, wip hi stream eye on hi jacket sleeve hagrid swung himself onto the motorcycle and kicked the engine into life; with a roar it rose into the air and off into the night ,HP1,True
292, i shall see you soon i expect professor mcgonagall said dumbledore nodd to her ,HP1,True
293, professor mcgonagall blew her nose in reply ,HP1,True
294, dumbledore turned and walked back down the street ,HP1,True
295, on the corner he stopped and took out the silver put outer ,HP1,True
296, he clicked it once and twelve ball of light sped back to their street lamp so that privet drive glowed suddenly orange and he could make out a tabby cat slink around the corner at the other end of the street ,HP1,True
297, he could just see the bundle of blanket on the step of number four ,HP1,True
298, good luck harry he murmured ,HP1,True
299, he turned on hi heel and with a swish of hi cloak he wa gone ,HP1,True
300, a breeze ruffled the neat hedge of privet drive which lay silent and tidy under the inky sky the very last  place you would expect astonish th to happen ,HP1,True
301, harry potter rolled over inside hi blanket without wak up ,HP1,True
302, one small hand closed on the letter beside him and he slept on not know he wa special not know he wa famou not know he would be woken in a few hours time by mr ,HP1,True
303, dursley scream a she opened the front door to put out the milk bottle nor that he would spend the next few week be prodded and pinched by hi cousin dudley ,HP1,True
304, he couldnt know that at thi very moment people meet in secret all over the country were hold up their glasse and say in hushed voices: to harry potter the boy who lived ,HP1,True
305,  the vanashig glas nearly ten year had passed since the dursley had woken up to find their nephew on the front step but privet drive had hardly changed at all ,HP1,True
306, the sun rose on the same tidy front garden and lit up the bras number four on the dursleys front door; it crept into their liv room which wa almost exactly the same a it had been on the night when dursley had seen that fateful new report about the owl ,HP1,True
307, only the photograph on the mantelpiece really showed how much time had passed ,HP1,True
308, ten year ago there had been lot of picture of what looked like a large pink beach ball wear different colored bonnet but dudley dursley wa no longer a baby and now the photograph showed a large blond boy rid hi first bicycle on a carousel at the fair play a computer game with hi father be hugged and kissed by hi mother ,HP1,True
309, the room held no sign at all that another boy lived in the house too ,HP1,True
310, yet harry potter wa still there asleep at the moment but not for long ,HP1,True
311, hi aunt petunia wa awake and it  wa her shrill voice that made the first noise of the day ,HP1,True
312, harry woke with a start ,HP1,True
313, hi aunt rapped on the door again ,HP1,True
314, harry heard her walk toward the kitchen and then the sound of the fry pan be put on the stove ,HP1,True
315, he rolled onto hi back and tried to remember the dream he had been hav ,HP1,True
316, it had been a good one ,HP1,True
317, there had been a fly motorcycle in it ,HP1,True
318, he had a funny feel hed had the same dream before ,HP1,True
319, hi aunt wa back outside the door ,HP1,True
320, well get a move on i want you to look after the bacon ,HP1,True
321, and dont you dare let it burn i want everyth perfect on duddy birthday ,HP1,True
322, hi aunt snapped through the door ,HP1,True
323, dudley birthday how could he have forgotten ,HP1,True
324, harry got slowly out of bed and started look for sock ,HP1,True
325, he found a pair under hi bed and after pull a spider off one of them put them on ,HP1,True
326, harry wa used to spider because the cupboard under the stair wa full of them and that wa where he slept ,HP1,True
327,  when he wa dressed he went down the hall into the kitchen ,HP1,True
328, the table wa almost hidden beneath all dudley birthday present ,HP1,True
329, it looked a though dudley had gotten the new computer he wanted not to mention the second television and the rac bike ,HP1,True
330, exactly why dudley wanted a rac bike wa a mystery to harry a dudley wa very fat and hated exercise unl of course it involved punch somebody ,HP1,True
331, dudley favorite punch bag wa harry but he couldnt often catch him ,HP1,True
332, harry didnt look it but he wa very fast ,HP1,True
333, perhap it had someth to do with liv in a dark cupboard but harry had alway been small and skinny for hi age ,HP1,True
334, he looked even smaller and skinnier than he really wa because all he had to wear were old clothe of dudley and dudley wa about four time bigger than he wa ,HP1,True
335, harry had a thin face knobbly knee black hair and bright green eye ,HP1,True
336, he wore round glasse held together with a lot of scotch tape because of all the time dudley had punched him on the nose ,HP1,True
337, the only th harry liked about hi own appearance wa a very thin scar on hi forehead that wa shaped like a bolt of lightn ,HP1,True
338, he had had it a long a he could remember and the first question he could ever remember ask hi aunt petunia wa how he had gotten it ,HP1,True
339, in the car crash when your parent died she had said ,HP1,True
340, dont ask question that wa the first rule for a quiet life with the dursley ,HP1,True
341, uncle vernon entered the kitchen a harry wa turn over the bacon ,HP1,True
342, he barked by way of a morn greet ,HP1,True
343,  about once a week uncle vernon looked over the top of hi newspaper and shouted that harry needed a haircut ,HP1,True
344, harry must have had more haircut than the rest of the boy in hi clas put together but it made no difference hi hair simply grew that way all over the place ,HP1,True
345, harry wa fry egg by the time dudley arrived in the kitchen with hi mother ,HP1,True
346, dudley looked a lot like uncle vernon ,HP1,True
347, he had a large pink face not much neck small watery blue eye and thick blond hair that lay smoothly on hi thick fat head ,HP1,True
348, aunt petunia often said that dudley looked like a baby angel harry often said that dudley looked like a pig in a wig ,HP1,True
349, harry put the plate of egg and bacon on the table which wa difficult a there wasnt much room ,HP1,True
350, dudley meanwhile wa count hi present ,HP1,True
351, thirty six he said look up at hi mother and father ,HP1,True
352, that two l than last year ,HP1,True
353, darl you havent counted auntie marge present see it here under thi big one from mommy and daddy ,HP1,True
354, all right thirty seven then said dudley go red in the face ,HP1,True
355, harry who could see a huge dudley tantrum com on began wolf down hi bacon a fast a possible in case dudley turned the table over ,HP1,True
356, aunt petunia obviously scented danger too because she said quickly and well buy you another two present while were out today ,HP1,True
357,  dudley thought for a moment ,HP1,True
358, it looked like hard work ,HP1,True
359, finally he said slowly so ill have thirty ,HP1,True
360, thirty nine sweetum said aunt petunia ,HP1,True
361, dudley sat down heavily and grabbed the nearest parcel ,HP1,True
362, little tyke want hi money worth just like hi father ,HP1,True
363, at that moment the telephone rang and aunt petunia went to answer it while harry and uncle vernon watched dudley unwrap the rac bike a video camera a remote control airplane sixteen new computer game and a vcr ,HP1,True
364, he wa ripp the paper off a gold wristwatch when aunt petunia came back from the telephone look both angry and worried ,HP1,True
365, bad new vernon she said ,HP1,True
366, she jerked her head in harry direction ,HP1,True
367, dudley mouth fell open in horror but harry heart gave a leap ,HP1,True
368, every year on dudley birthday hi parent took him and a friend out for the day to adventure park hamburger restaurant or the movie ,HP1,True
369, every year harry wa left behind with mr ,HP1,True
370, figg a mad old lady who lived two street away ,HP1,True
371, the whole house smelled of cabbage and mr ,HP1,True
372, figg made him look at photograph of all the cat shed ever owned ,HP1,True
373, said aunt petunia look furiously at harry a though hed planned thi ,HP1,True
374, harry knew he  ought to feel sorry that mr ,HP1,True
375, figg had broken her leg but it wasnt easy when he reminded himself it would be a whole year before he had to look at tibbie snowy paw and tufty again ,HP1,True
376, we could phone marge uncle vernon suggested ,HP1,True
377, dont be silly vernon she hate the boy ,HP1,True
378, the dursley often spoke about harry like thi a though he wasnt there or rather a though he wa someth very nasty that couldnt understand them like a slug ,HP1,True
379, what about whats her name your friend yvonne ,HP1,True
380, on vacation in majorca snapped aunt petunia ,HP1,True
381, you could just leave me here harry put in hopefully (hed be able to watch what he wanted on television for a change and maybe even have a go on dudley computer) ,HP1,True
382, aunt petunia looked a though shed just swallowed a lemon ,HP1,True
383, and come back and find the house in ruins ,HP1,True
384, i wont blow up the house said harry but they werent listen ,HP1,True
385, i suppose we could take him to the zoo said aunt petunia slowly ,HP1,True
386, and leave him in the car ,HP1,True
387, that car new he not sitt in it alone ,HP1,True
388,  dudley began to cry loudly ,HP1,True
389, in fact he wasnt really cry it had been year since hed really cried but he knew that if he screwed up hi face and wailed hi mother would give him anyth he wanted ,HP1,True
390, dinky duddydum dont cry mummy wont let him spoil your special day ,HP1,True
391, she cried fling her arm around him ,HP1,True
392, dudley yelled between huge pretend sob ,HP1,True
393, he alway sp spoil everything ,HP1,True
394, he shot harry a nasty grin through the gap in hi mother arm just then the doorbell rang oh good lord theyre here ,HP1,True
395, said aunt petunia frantically and a moment later dudley best friend pier polkis walked in with hi mother ,HP1,True
396, pier wa a scrawny boy with a face like a rat ,HP1,True
397, he wa usually the one who held people arm behind their back while dudley hit them ,HP1,True
398, dudley stopped pretend to cry at once ,HP1,True
399, half an hour later harry who couldnt believe hi luck wa sitt in the back of the dursleys car with pier and dudley on the way to the zoo for the first time in hi life ,HP1,True
400, hi aunt and uncle hadnt been able to think of anyth else to do with him but before theyd left uncle vernon had taken harry aside ,HP1,True
401, im warn you he had said putt hi large purple face right up close to harry im warn you now boy any funny busin anyth at all and youll be in that cupboard from now until christma ,HP1,True
402, im not go to do anyth said harry honestly  but uncle vernon didnt believe him ,HP1,True
403, the problem wa strange th often happened around harry and it wa just no good tell the dursley he didnt make them happen ,HP1,True
404, once aunt petunia tired of harry com back from the barber look a though he hadnt been at all had taken a pair of kitchen scissor and cut hi hair so short he wa almost bald except for hi bang which she left to hide that horrible scar ,HP1,True
405, dudley had laughed himself silly at harry who spent a sleepl night imagin school the next day where he wa already laughed at for hi baggy clothe and taped glasse ,HP1,True
406, next morn however he had gotten up to find hi hair exactly a it had been before aunt petunia had sheared it off ,HP1,True
407, he had been given a week in hi cupboard for thi even though he had tried to explain that he couldnt explain how it had grown back so quickly ,HP1,True
